"is_attack","P601","FIT601"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
1,1,"GT 0.000288341"
