P101,MV101,FIT101,LIT101
2,1,0,729.8658
2,1,0,729.434
2,1,0,729.12
2,1,0,728.6882
2,1,0,727.7069
2,1,0,727.157349
2,1,0,726.490051
2,1,0,726.097534
2,1,0,725.7835
2,1,0,725.2732
2,1,0,724.8807
2,1,0,724.3311
2,1,0,724.174133
2,1,0,723.9386
2,1,0,723.5853
2,1,0,723.310547
2,1,0,723.1928
2,1,0,722.7218
2,1,0,722.3685
2,1,0,721.6227
2,1,0,721.0732
2,1,0,720.759155
2,1,0,720.4059
2,1,0,720.013367
2,1,0,719.189
2,1,0,718.835754
2,1,0,717.9329
2,1,0,717.6582
2,1,0,717.2264
2,1,0,716.8731
2,1,0,716.5591
2,1,0,716.362854
2,1,0,715.381531
2,1,0,714.910461
2,1,0,714.7927
2,1,0,714.4787
2,1,0,713.968445
2,1,0,713.301147
2,1,0,712.712341
2,1,0,712.123535
2,1,0,711.8095
2,1,0,711.927246
2,1,0,711.770264
2,1,0,711.181458
2,1,0,710.1609
2,1,0,709.297363
2,1,0,709.179565
2,1,0,708.6693
2,1,0,708.2375
2,1,0,707.2955
2,1,0,706.863647
2,1,0,706.6674
2,1,0,706.0786
2,1,0,706.0786
2,1,0,705.136536
2,1,0,704.901
2,1,0,704.1552
2,1,0,703.527161
2,1,0,702.192566
2,1,0,701.800049
2,1,0,701.721558
2,1,0,701.4468
2,1,0,700.8187
2,1,0,700.4262
2,1,0,699.5627
2,1,0,699.248657
2,1,0,698.267334
2,1,0,697.600037
2,1,0,697.482239
2,1,0,697.0897
2,1,0,696.8542
2,1,0,696.147644
2,1,0,696.069153
2,1,0,695.8336
2,1,0,695.7159
2,1,0,695.1663
2,1,0,694.8916
2,1,0,694.6953
2,1,0,694.185
2,1,0,693.871033
2,1,0,693.478455
2,1,0,692.7719
2,1,0,692.340149
2,1,0,691.947632
2,1,0,691.4373
2,1,0,690.77
2,1,0,690.024231
2,1,0,689.6317
2,1,0,689.003662
2,1,0,688.7681
2,1,0,687.9831
2,1,0,687.5906
2,1,0,686.687744
2,1,0,685.941956
2,1,0,685.3139
2,1,0,684.9214
2,1,0,684.6466
2,1,0,684.097046
2,1,0,683.469
2,1,0,682.880249
2,1,0,682.487732
2,1,0,681.9774
2,1,0,682.016663
2,1,0,682.016663
2,1,0,681.427856
2,1,0,681.2316
2,1,0,681.5064
2,1,0,680.564331
2,1,0,680.0148
2,1,0,679.1905
2,1,0,678.7194
2,1,0,678.0521
2,1,0,677.4634
2,1,0,677.149353
2,1,0,676.8353
2,1,0,676.325
2,1,0,676.285767
2,1,0,675.69696
2,1,0,675.0689
2,1,0,674.558655
2,1,0,674.4016
2,1,0,673.969849
2,1,0,673.7343
2,1,0,673.302551
2,1,0,672.556763
2,1,0,672.3212
2,1,0,671.7717
2,1,0,671.653931
2,1,0,671.37915
2,1,0,670.7904
2,1,0,670.083862
2,1,0,669.6128
2,1,0,668.90625
2,1,0,668.6315
2,1,0,668.0034
2,1,0,667.4539
2,1,0,667.100647
2,1,0,666.5511
2,1,0,665.648254
2,1,0,664.7455
2,1,0,664.3922
2,1,0,664.117432
2,1,0,663.4109
2,1,0,662.979065
2,1,0,662.311768
2,1,0,661.997742
2,1,0,661.566
2,1,0,661.330444
2,1,0,661.1342
2,1,0,661.0164
2,1,0,660.3884
2,1,0,659.7604
2,1,0,659.4071
2,1,0,658.700562
2,1,0,658.268738
2,1,0,658.033264
2,1,0,657.2874
2,1,0,656.4239
2,1,0,655.717346
2,1,0,655.12854
2,1,0,655.050049
2,1,0,654.932251
2,1,0,654.736
2,1,0,654.3042
2,1,0,654.0687
2,1,0,653.597656
2,1,0,653.0089
2,1,0,652.6949
2,1,0,652.2238
2,1,0,652.1061
2,1,0,651.713562
2,1,0,651.399536
2,1,0,650.614441
2,1,0,650.064941
2,1,0,649.7509
2,1,0,649.476135
2,1,0,649.279846
2,1,0,648.8481
2,1,0,648.8481
2,1,0,648.2593
2,1,0,647.435
2,1,0,646.4144
2,1,0,645.6294
2,1,0,644.2948
2,1,0,643.745239
2,1,0,643.077942
2,1,0,642.0966
2,1,0,641.154541
2,1,0,640.448
2,1,0,640.1732
2,1,0,639.662964
2,1,0,639.545166
2,1,0,639.152649
2,1,0,639.152649
2,1,0,638.2498
2,1,0,637.896545
2,1,0,637.425537
2,1,0,637.268555
2,1,0,636.5227
2,1,0,636.090942
2,1,0,635.148865
2,1,0,634.8741
2,1,0,634.952637
2,1,0,633.892761
2,1,0,633.5788
2,1,0,633.0685
2,1,0,632.7937
2,1,0,632.3227
2,1,0,631.9302
2,1,0,631.498352
2,1,0,631.2236
2,1,0,630.7918
2,1,0,630.517
2,1,0,630.360046
2,1,0,629.9283
2,1,0,629.1432
2,1,0,627.5731
2,1,0,627.02356
2,1,0,625.4534
2,1,0,624.511353
2,1,0,624.2759
2,1,0,623.569336
2,1,0,623.1375
2,1,0,623.059
2,1,0,623.059
2,1,0,623.3338
2,1,0,623.2553
2,1,0,623.1375
2,1,0,623.098267
2,1,0,623.1375
2,1,0,622.588
2,1,0,622.1562
2,1,0,621.7244
2,1,0,621.1356
2,1,0,620.115051
2,1,0,619.722534
2,1,0,619.2123
2,1,0,618.976746
2,1,0,618.6627
2,1,0,618.2702
2,1,0,618.3487
2,1,0,618.034668
2,1,0,617.6814
2,1,0,617.0926
2,1,0,617.249634
2,1,0,616.8178
2,1,0,616.0328
2,1,0,615.915039
2,1,0,615.287
2,1,0,614.9337
2,1,0,614.1094
2,1,0,613.5991
2,1,0,613.167358
2,1,0,612.578552
2,1,0,611.832764
2,1,0,611.165466
2,1,0,611.243958
2,1,0,610.6159
2,1,0,610.4196
2,1,0,609.7916
2,1,0,609.6346
2,1,0,609.006531
2,1,0,608.4963
2,1,0,608.1037
2,1,0,607.829
2,1,0,607.2794
2,1,0,606.8869
2,1,0,606.651367
2,1,0,605.866333
2,1,0,605.6308
2,1,0,605.356
2,1,0,605.120544
2,1,0,604.453247
2,1,0,604.3747
2,1,0,604.335449
2,1,0,603.864441
2,1,0,603.7074
2,1,0,603.1579
2,1,0,602.0981
2,1,0,601.5093
2,1,0,600.842
2,1,0,600.135437
2,1,0,598.683044
2,1,0,598.1728
2,1,0,597.427
2,1,0,596.602661
2,1,0,596.2494
2,1,0,595.621338
2,1,0,595.6606
2,1,0,595.621338
2,1,0,595.2288
2,1,0,594.0513
2,1,0,593.069946
2,1,0,592.363342
2,1,0,591.617554
2,1,0,591.146545
2,1,0,590.36145
2,1,0,590.0475
2,1,0,590.1652
2,1,0,589.811951
2,1,0,589.9297
2,1,0,589.419434
2,1,0,589.1839
2,1,0,589.1839
2,1,0,588.948364
2,1,0,588.948364
2,1,0,588.1633
2,1,0,587.653
2,1,0,587.2605
2,1,0,586.5932
2,1,0,586.2399
2,1,0,585.6511
2,1,0,584.8661
2,1,0,584.5128
2,1,0,583.924
2,1,0,583.57074
2,1,0,583.453
2,1,0,582.8642
2,1,0,582.4717
2,1,0,582.1969
2,1,0,581.490356
2,1,0,581.411865
2,1,0,581.1371
2,1,0,580.430542
2,1,0,580.430542
2,1,0,580.1165
2,1,0,579.9988
2,1,0,579.6062
2,1,0,578.8604
2,1,0,578.1539
2,1,0,577.6436
2,1,0,577.094055
2,1,0,576.3875
2,1,0,575.6417
2,1,0,575.680969
2,1,0,574.699646
2,1,0,574.3464
2,1,0,573.953857
2,1,0,573.757568
2,1,0,573.4828
2,1,0,573.247253
2,1,0,572.894
2,1,0,572.854736
2,1,0,571.8734
2,1,0,571.1276
2,1,0,570.8136
2,1,0,570.2248
2,1,0,570.107056
2,1,0,569.439758
2,1,0,569.008
2,1,0,569.008
2,1,0,568.183655
2,1,0,567.791138
2,1,0,567.0846
2,1,0,566.2603
2,1,0,565.593
2,1,0,564.8079
2,1,0,564.2584
2,1,0,562.9631
2,1,0,562.7668
2,1,0,562.0995
2,1,0,562.2958
2,1,0,561.863953
2,1,0,562.0995
2,1,0,561.98175
2,1,0,562.138733
2,1,0,561.471436
2,1,0,561.2752
2,1,0,560.4116
2,1,0,560.0976
2,1,0,559.5088
2,1,0,558.527466
2,1,0,557.9387
2,1,0,557.075134
2,1,0,556.4471
2,1,0,555.8976
2,1,0,555.2303
2,1,0,554.563
2,1,0,553.738647
2,1,0,554.0527
2,1,0,553.3069
2,1,0,553.189148
2,1,0,552.7573
2,1,0,552.678833
2,1,0,551.5405
2,1,0,551.1087
2,1,0,550.6377
2,1,0,549.7741
2,1,0,549.6564
2,1,0,549.185364
2,1,0,548.361
